region_id,시군구명,행정동명,기준일자,실거래가,서울평균_실거래가,실거래가_서울평균대비율,실거래가_서울평균대비금액,전세가,서울평균_전세가,전세가_서울평균대비율,전세가_서울평균대비금액,거래량,거래량_해석주의
1153053000,구로구,구로2동,2023-09,20625.0,15037.33,37.16,5587.67,40500.0,32116.13,26.1,8383.87,0.8,True
1153054000,구로구,구로3동,2023-09,20625.0,15037.33,37.16,5587.67,40500.0,32116.13,26.1,8383.87,0.8,True
1153055000,구로구,구로4동,2023-09,20625.0,15037.33,37.16,5587.67,40500.0,32116.13,26.1,8383.87,0.8,True
1153056000,구로구,구로5동,2023-09,20625.0,15037.33,37.16,5587.67,40500.0,32116.13,26.1,8383.87,0.8,True
1153051000,구로구,신도림동,2023-09,16850.0,15037.33,12.05,1812.67,16850.0,32116.13,-47.53,-15266.13,4.0,False
1153078000,구로구,오류2동,2023-09,10353.67,15037.33,-31.15,-4683.66,19091.0,32116.13,-40.56,-13025.13,4.5,False
1153080000,구로구,항동,2023-09,9547.4,15037.33,-36.51,-5489.93,,32116.13,,,2.5,True
1154551000,금천구,가산동,2023-09,11000.0,15037.33,-26.85,-4037.33,,32116.13,,,2.0,True
1154561000,금천구,독산1동,2023-09,3823.0,15037.33,-74.58,-11214.33,,32116.13,,,0.75,True
1154562000,금천구,독산2동,2023-09,3823.0,15037.33,-74.58,-11214.33,,32116.13,,,0.75,True
1154563000,금천구,독산3동,2023-09,3823.0,15037.33,-74.58,-11214.33,,32116.13,,,0.75,True
1154564000,금천구,독산4동,2023-09,3823.0,15037.33,-74.58,-11214.33,,32116.13,,,0.75,True
1154567000,금천구,시흥1동,2023-09,1045.75,15037.33,-93.05,-13991.58,,32116.13,,,0.8,True
1154568000,금천구,시흥2동,2023-09,1045.75,15037.33,-93.05,-13991.58,,32116.13,,,0.8,True
1154569000,금천구,시흥3동,2023-09,1045.75,15037.33,-93.05,-13991.58,,32116.13,,,0.8,True
1154570000,금천구,시흥4동,2023-09,1045.75,15037.33,-93.05,-13991.58,,32116.13,,,0.8,True
1154571000,금천구,시흥5동,2023-09,1045.75,15037.33,-93.05,-13991.58,,32116.13,,,0.8,True
1135072000,노원구,상계10동,2023-09,16500.0,15037.33,9.73,1462.67,16500.0,32116.13,-48.62,-15616.13,0.11,True
1135063000,노원구,상계1동,2023-09,16500.0,15037.33,9.73,1462.67,16500.0,32116.13,-48.62,-15616.13,0.11,True
1135064000,노원구,상계2동,2023-09,16500.0,15037.33,9.73,1462.67,16500.0,32116.13,-48.62,-15616.13,0.11,True
1135066500,노원구,상계3·4동,2023-09,16500.0,15037.33,9.73,1462.67,16500.0,32116.13,-48.62,-15616.13,0.11,True
1135067000,노원구,상계5동,2023-09,16500.0,15037.33,9.73,1462.67,16500.0,32116.13,-48.62,-15616.13,0.11,True
1135069500,노원구,상계6·7동,2023-09,16500.0,15037.33,9.73,1462.67,16500.0,32116.13,-48.62,-15616.13,0.11,True
1135070000,노원구,상계8동,2023-09,16500.0,15037.33,9.73,1462.67,16500.0,32116.13,-48.62,-15616.13,0.11,True
1135071000,노원구,상계9동,2023-09,16500.0,15037.33,9.73,1462.67,16500.0,32116.13,-48.62,-15616.13,0.11,True
1135062400,노원구,중계4동,2023-09,16500.0,15037.33,9.73,1462.67,16500.0,32116.13,-48.62,-15616.13,0.11,True
1135061100,노원구,하계1동,2023-09,11500.0,15037.33,-23.52,-3537.33,19000.0,32116.13,-40.84,-13116.13,1.0,True
1135061200,노원구,하계2동,2023-09,11500.0,15037.33,-23.52,-3537.33,19000.0,32116.13,-40.84,-13116.13,1.0,True
1132052100,도봉구,도봉1동,2023-09,4000.0,15037.33,-73.4,-11037.33,6000.0,32116.13,-81.32,-26116.13,1.0,True
1132052200,도봉구,도봉2동,2023-09,4000.0,15037.33,-73.4,-11037.33,6000.0,32116.13,-81.32,-26116.13,1.0,True
1123060000,동대문구,답십리1동,2023-09,100000.0,15037.33,565.01,84962.67,100000.0,32116.13,211.37,67883.87,0.33,True
1123074000,동대문구,이문1동,2023-09,31000.0,15037.33,106.15,15962.67,,32116.13,,,0.5,True
1123075000,동대문구,이문2동,2023-09,31000.0,15037.33,106.15,15962.67,,32116.13,,,0.5,True
1123065000,동대문구,장안1동,2023-09,1500.0,15037.33,-90.02,-13537.33,,32116.13,,,0.5,True
1123066000,동대문구,장안2동,2023-09,1500.0,15037.33,-90.02,-13537.33,,32116.13,,,0.5,True
1123056000,동대문구,전농1동,2023-09,100000.0,15037.33,565.01,84962.67,100000.0,32116.13,211.37,67883.87,0.33,True
1123057000,동대문구,전농2동,2023-09,100000.0,15037.33,565.01,84962.67,100000.0,32116.13,211.37,67883.87,0.33,True
1123070500,동대문구,청량리동,2023-09,31500.0,15037.33,109.48,16462.67,31500.0,32116.13,-1.92,-616.13,1.0,True
1123072000,동대문구,휘경1동,2023-09,6750.0,15037.33,-55.11,-8287.33,13000.0,32116.13,-59.52,-19116.13,1.0,True
1123073000,동대문구,휘경2동,2023-09,6750.0,15037.33,-55.11,-8287.33,13000.0,32116.13,-59.52,-19116.13,1.0,True
1159051000,동작구,노량진1동,2023-09,28375.0,15037.33,88.7,13337.67,28375.0,32116.13,-11.65,-3741.13,1.0,True
1159052000,동작구,노량진2동,2023-09,28375.0,15037.33,88.7,13337.67,28375.0,32116.13,-11.65,-3741.13,1.0,True
1159062000,동작구,사당1동,2023-09,4000.0,15037.33,-73.4,-11037.33,,32116.13,,,0.8,True
1159063000,동작구,사당2동,2023-09,4000.0,15037.33,-73.4,-11037.33,,32116.13,,,0.8,True
1159064000,동작구,사당3동,2023-09,4000.0,15037.33,-73.4,-11037.33,,32116.13,,,0.8,True
1159065000,동작구,사당4동,2023-09,4000.0,15037.33,-73.4,-11037.33,,32116.13,,,0.8,True
1159065100,동작구,사당5동,2023-09,4000.0,15037.33,-73.4,-11037.33,,32116.13,,,0.8,True
1159053000,동작구,상도1동,2023-09,2500.0,15037.33,-83.37,-12537.33,,32116.13,,,0.25,True
1159054000,동작구,상도2동,2023-09,2500.0,15037.33,-83.37,-12537.33,,32116.13,,,0.25,True
1159055000,동작구,상도3동,2023-09,2500.0,15037.33,-83.37,-12537.33,,32116.13,,,0.25,True
1159056000,동작구,상도4동,2023-09,2500.0,15037.33,-83.37,-12537.33,,32116.13,,,0.25,True
1159067000,동작구,신대방1동,2023-09,17325.0,15037.33,15.21,2287.67,17325.0,32116.13,-46.06,-14791.13,0.5,True
1159068000,동작구,신대방2동,2023-09,17325.0,15037.33,15.21,2287.67,17325.0,32116.13,-46.06,-14791.13,0.5,True
1159060500,동작구,흑석동,2023-09,30000.0,15037.33,99.5,14962.67,,32116.13,,,1.0,True
1144056500,마포구,공덕동,2023-09,21755.75,15037.33,44.68,6718.42,32139.2,32116.13,0.07,23.07,1.33,True
1144069000,마포구,망원1동,2023-09,1000.0,15037.33,-93.35,-14037.33,,32116.13,,,0.5,True
1144070000,마포구,망원2동,2023-09,1000.0,15037.33,-93.35,-14037.33,,32116.13,,,0.5,True
1144066000,마포구,서교동,2023-09,9067.5,15037.33,-39.7,-5969.83,24150.0,32116.13,-24.8,-7966.13,4.0,False
1144072000,마포구,성산1동,2023-09,2000.0,15037.33,-86.7,-13037.33,,32116.13,,,0.5,True
1144073000,마포구,성산2동,2023-09,2000.0,15037.33,-86.7,-13037.33,,32116.13,,,0.5,True
1144055500,마포구,아현동,2023-09,17827.4,15037.33,18.55,2790.07,32139.2,32116.13,0.07,23.07,1.67,True
1144061000,마포구,염리동,2023-09,36557.0,15037.33,143.11,21519.67,71000.0,32116.13,121.07,38883.87,0.67,True
1144059000,마포구,용강동,2023-09,1653.5,15037.33,-89.0,-13383.83,,32116.13,,,1.33,True
1141071000,서대문구,북가좌1동,2023-09,22000.0,15037.33,46.3,6962.67,22000.0,32116.13,-31.5,-10116.13,0.5,True
1141072000,서대문구,북가좌2동,2023-09,22000.0,15037.33,46.3,6962.67,22000.0,32116.13,-31.5,-10116.13,0.5,True
1141056500,서대문구,충현동,2023-09,1000.0,15037.33,-93.35,-14037.33,,32116.13,,,1.0,True
1141062000,서대문구,홍제1동,2023-09,43000.0,15037.33,185.95,27962.67,43000.0,32116.13,33.89,10883.87,0.33,True
1141065500,서대문구,홍제2동,2023-09,43000.0,15037.33,185.95,27962.67,43000.0,32116.13,33.89,10883.87,0.33,True
1141064000,서대문구,홍제3동,2023-09,43000.0,15037.33,185.95,27962.67,43000.0,32116.13,33.89,10883.87,0.33,True
1165056000,서초구,반포1동,2023-09,40880.0,15037.33,171.86,25842.67,34000.0,32116.13,5.87,1883.87,0.75,True
1165057000,서초구,반포2동,2023-09,40880.0,15037.33,171.86,25842.67,34000.0,32116.13,5.87,1883.87,0.75,True
1165058000,서초구,반포3동,2023-09,50333.33,15037.33,234.72,35296.0,58000.0,32116.13,80.59,25883.87,1.5,True
1165058100,서초구,반포4동,2023-09,40880.0,15037.33,171.86,25842.67,34000.0,32116.13,5.87,1883.87,0.75,True
1165055000,서초구,반포본동,2023-09,40880.0,15037.33,171.86,25842.67,34000.0,32116.13,5.87,1883.87,0.75,True
1165060000,서초구,방배1동,2023-09,28250.0,15037.33,87.87,13212.67,34333.33,32116.13,6.9,2217.2,0.67,True
