region_id,시도명,시군구명,행정동코드,행정동명
1144058500,서울특별시,마포구,1144058500,도화동
1144069000,서울특별시,마포구,1144069000,망원1동
1144070000,서울특별시,마포구,1144070000,망원2동
1144074000,서울특별시,마포구,1144074000,상암동
1144065500,서울특별시,마포구,1144065500,서강동
1144066000,서울특별시,마포구,1144066000,서교동
1144072000,서울특별시,마포구,1144072000,성산1동
1144073000,서울특별시,마포구,1144073000,성산2동
1144063000,서울특별시,마포구,1144063000,신수동
1144055500,서울특별시,마포구,1144055500,아현동
1144071000,서울특별시,마포구,1144071000,연남동
1144061000,서울특별시,마포구,1144061000,염리동
1144059000,서울특별시,마포구,1144059000,용강동
1144068000,서울특별시,마포구,1144068000,합정동
1141069000,서울특별시,서대문구,1141069000,남가좌1동
1141070000,서울특별시,서대문구,1141070000,남가좌2동
1141071000,서울특별시,서대문구,1141071000,북가좌1동
1141072000,서울특별시,서대문구,1141072000,북가좌2동
1141055500,서울특별시,서대문구,1141055500,북아현동
1141058500,서울특별시,서대문구,1141058500,신촌동
1141061500,서울특별시,서대문구,1141061500,연희동
1141052000,서울특별시,서대문구,1141052000,천연동
1141056500,서울특별시,서대문구,1141056500,충현동
1141066000,서울특별시,서대문구,1141066000,홍은1동
1141068500,서울특별시,서대문구,1141068500,홍은2동
1141062000,서울특별시,서대문구,1141062000,홍제1동
1141065500,서울특별시,서대문구,1141065500,홍제2동
1141064000,서울특별시,서대문구,1141064000,홍제3동
1165066000,서울특별시,서초구,1165066000,내곡동
1165056000,서울특별시,서초구,1165056000,반포1동
1165057000,서울특별시,서초구,1165057000,반포2동
1165058000,서울특별시,서초구,1165058000,반포3동
1165058100,서울특별시,서초구,1165058100,반포4동
1165055000,서울특별시,서초구,1165055000,반포본동
1165060000,서울특별시,서초구,1165060000,방배1동
1165061000,서울특별시,서초구,1165061000,방배2동
1165062000,서울특별시,서초구,1165062000,방배3동
1165062100,서울특별시,서초구,1165062100,방배4동
1165059000,서울특별시,서초구,1165059000,방배본동
1165051000,서울특별시,서초구,1165051000,서초1동
1165052000,서울특별시,서초구,1165052000,서초2동
1165053000,서울특별시,서초구,1165053000,서초3동
1165053100,서울특별시,서초구,1165053100,서초4동
1165065100,서울특별시,서초구,1165065100,양재1동
1165065200,서울특별시,서초구,1165065200,양재2동
1165054000,서울특별시,서초구,1165054000,잠원동
1120059000,서울특별시,성동구,1120059000,금호1가동
1120061500,서울특별시,성동구,1120061500,금호2·3가동
1120062000,서울특별시,성동구,1120062000,금호4가동
1120054000,서울특별시,성동구,1120054000,마장동
1120055000,서울특별시,성동구,1120055000,사근동
1120065000,서울특별시,성동구,1120065000,성수1가1동
1120066000,서울특별시,성동구,1120066000,성수1가2동
1120067000,서울특별시,성동구,1120067000,성수2가1동
1120069000,서울특별시,성동구,1120069000,성수2가3동
1120072000,서울특별시,성동구,1120072000,송정동
1120064500,서울특별시,성동구,1120064500,옥수동
1120052000,서울특별시,성동구,1120052000,왕십리2동
1120053500,서울특별시,성동구,1120053500,왕십리도선동
1120079000,서울특별시,성동구,1120079000,용답동
1120058000,서울특별시,성동구,1120058000,응봉동
1120056000,서울특별시,성동구,1120056000,행당1동
1120057000,서울특별시,성동구,1120057000,행당2동
1129066000,서울특별시,성북구,1129066000,길음1동
1129068500,서울특별시,성북구,1129068500,길음2동
1129058000,서울특별시,성북구,1129058000,돈암1동
1129059000,서울특별시,성북구,1129059000,돈암2동
1129057500,서울특별시,성북구,1129057500,동선동
1129061000,서울특별시,성북구,1129061000,보문동
1129055500,서울특별시,성북구,1129055500,삼선동
1129081000,서울특별시,성북구,1129081000,석관동
1129052500,서울특별시,성북구,1129052500,성북동
1129060000,서울특별시,성북구,1129060000,안암동
1129071500,서울특별시,성북구,1129071500,월곡1동
1129072500,서울특별시,성북구,1129072500,월곡2동
1129076000,서울특별시,성북구,1129076000,장위1동
1129077000,서울특별시,성북구,1129077000,장위2동
1129078000,서울특별시,성북구,1129078000,장위3동
1129062000,서울특별시,성북구,1129062000,정릉1동
1129063000,서울특별시,성북구,1129063000,정릉2동
1129064000,서울특별시,성북구,1129064000,정릉3동
1129065000,서울특별시,성북구,1129065000,정릉4동
1129070500,서울특별시,성북구,1129070500,종암동
1171063100,서울특별시,송파구,1171063100,가락1동
1171063200,서울특별시,송파구,1171063200,가락2동
1171062000,서울특별시,송파구,1171062000,가락본동
1171053100,서울특별시,송파구,1171053100,거여1동
1171053200,서울특별시,송파구,1171053200,거여2동
1171054000,서울특별시,송파구,1171054000,마천1동
1171055000,서울특별시,송파구,1171055000,마천2동
1171064100,서울특별시,송파구,1171064100,문정1동
1171064200,서울특별시,송파구,1171064200,문정2동
1171056100,서울특별시,송파구,1171056100,방이1동
1171056200,서울특별시,송파구,1171056200,방이2동
1171061000,서울특별시,송파구,1171061000,삼전동
1171060000,서울특별시,송파구,1171060000,석촌동
1171058000,서울특별시,송파구,1171058000,송파1동
1171059000,서울특별시,송파구,1171059000,송파2동
1171057000,서울특별시,송파구,1171057000,오금동
1171056600,서울특별시,송파구,1171056600,오륜동
1171064700,서울특별시,송파구,1171064700,위례동
1171067000,서울특별시,송파구,1171067000,잠실2동
1171068000,서울특별시,송파구,1171068000,잠실3동
1171069000,서울특별시,송파구,1171069000,잠실4동
1171071000,서울특별시,송파구,1171071000,잠실6동
1171072000,서울특별시,송파구,1171072000,잠실7동
1171065000,서울특별시,송파구,1171065000,잠실본동
1171064600,서울특별시,송파구,1171064600,장지동
1171051000,서울특별시,송파구,1171051000,풍납1동
1171052000,서울특별시,송파구,1171052000,풍납2동
1147051000,서울특별시,양천구,1147051000,목1동
1147052000,서울특별시,양천구,1147052000,목2동
1147053000,서울특별시,양천구,1147053000,목3동
1147054000,서울특별시,양천구,1147054000,목4동
1147055000,서울특별시,양천구,1147055000,목5동
1147056000,서울특별시,양천구,1147056000,신월1동
1147057000,서울특별시,양천구,1147057000,신월2동
1147058000,서울특별시,양천구,1147058000,신월3동
1147059000,서울특별시,양천구,1147059000,신월4동
1147060000,서울특별시,양천구,1147060000,신월5동
1147061000,서울특별시,양천구,1147061000,신월6동
1147061100,서울특별시,양천구,1147061100,신월7동
1147062000,서울특별시,양천구,1147062000,신정1동
1147063000,서울특별시,양천구,1147063000,신정2동
1147064000,서울특별시,양천구,1147064000,신정3동
1147065000,서울특별시,양천구,1147065000,신정4동
1147067000,서울특별시,양천구,1147067000,신정6동
1147068000,서울특별시,양천구,1147068000,신정7동
1156055000,서울특별시,영등포구,1156055000,당산1동
1156056000,서울특별시,영등포구,1156056000,당산2동
1156070000,서울특별시,영등포구,1156070000,대림1동
1156071000,서울특별시,영등포구,1156071000,대림2동
1156072000,서울특별시,영등포구,1156072000,대림3동
1156058500,서울특별시,영등포구,1156058500,도림동
1156060500,서울특별시,영등포구,1156060500,문래동
1156063000,서울특별시,영등포구,1156063000,신길1동
1156065000,서울특별시,영등포구,1156065000,신길3동
1156066000,서울특별시,영등포구,1156066000,신길4동
1156067000,서울특별시,영등포구,1156067000,신길5동
1156068000,서울특별시,영등포구,1156068000,신길6동
1156069000,서울특별시,영등포구,1156069000,신길7동
1156061000,서울특별시,영등포구,1156061000,양평1동
1156062000,서울특별시,영등포구,1156062000,양평2동
1156054000,서울특별시,영등포구,1156054000,여의동
1156053500,서울특별시,영등포구,1156053500,영등포동
1156051500,서울특별시,영등포구,1156051500,영등포본동
1117053000,서울특별시,용산구,1117053000,남영동
1117070000,서울특별시,용산구,1117070000,보광동
1117069000,서울특별시,용산구,1117069000,서빙고동
1117059000,서울특별시,용산구,1117059000,용문동
1117052000,서울특별시,용산구,1117052000,용산2가동
1117056000,서울특별시,용산구,1117056000,원효로1동
1117057000,서울특별시,용산구,1117057000,원효로2동
1117063000,서울특별시,용산구,1117063000,이촌1동
1117064000,서울특별시,용산구,1117064000,이촌2동
1117065000,서울특별시,용산구,1117065000,이태원1동
1117066000,서울특별시,용산구,1117066000,이태원2동
1117055500,서울특별시,용산구,1117055500,청파동
1117062500,서울특별시,용산구,1117062500,한강로동
1117068500,서울특별시,용산구,1117068500,한남동
1117058000,서울특별시,용산구,1117058000,효창동
1117051000,서울특별시,용산구,1117051000,후암동
1138055100,서울특별시,은평구,1138055100,갈현1동
1138055200,서울특별시,은평구,1138055200,갈현2동
1138056000,서울특별시,은평구,1138056000,구산동
1138051000,서울특별시,은평구,1138051000,녹번동
1138057000,서울특별시,은평구,1138057000,대조동
1138052000,서울특별시,은평구,1138052000,불광1동
1138053000,서울특별시,은평구,1138053000,불광2동
1138065000,서울특별시,은평구,1138065000,수색동
1138063100,서울특별시,은평구,1138063100,신사1동
1138063200,서울특별시,은평구,1138063200,신사2동
1138062500,서울특별시,은평구,1138062500,역촌동
1138058000,서울특별시,은평구,1138058000,응암1동
1138059000,서울특별시,은평구,1138059000,응암2동
1138060000,서울특별시,은평구,1138060000,응암3동
1138064000,서울특별시,은평구,1138064000,증산동
1138069000,서울특별시,은평구,1138069000,진관동
1111060000,서울특별시,종로구,1111060000,가회동
1111058000,서울특별시,종로구,1111058000,교남동
1111057000,서울특별시,종로구,1111057000,무악동
1111055000,서울특별시,종로구,1111055000,부암동
1111053000,서울특별시,종로구,1111053000,사직동
1111054000,서울특별시,종로구,1111054000,삼청동
1111070000,서울특별시,종로구,1111070000,숭인1동
1111071000,서울특별시,종로구,1111071000,숭인2동
1111064000,서울특별시,종로구,1111064000,이화동
1111061500,서울특별시,종로구,1111061500,종로1·2·3·4가동
1111063000,서울특별시,종로구,1111063000,종로5·6가동
1111067000,서울특별시,종로구,1111067000,창신1동
1111068000,서울특별시,종로구,1111068000,창신2동
1111069000,서울특별시,종로구,1111069000,창신3동
1111051500,서울특별시,종로구,1111051500,청운효자동
1111056000,서울특별시,종로구,1111056000,평창동
1111065000,서울특별시,종로구,1111065000,혜화동
1114059000,서울특별시,중구,1114059000,광희동
1114062500,서울특별시,중구,1114062500,다산동
1114066500,서울특별시,중구,1114066500,동화동
1114055000,서울특별시,중구,1114055000,명동
1114052000,서울특별시,중구,1114052000,소공동
1114061000,서울특별시,중구,1114061000,신당1동
1114062000,서울특별시,중구,1114062000,신당2동
1114063000,서울특별시,중구,1114063000,신당3동
1114064000,서울특별시,중구,1114064000,신당4동
1114065000,서울특별시,중구,1114065000,신당5동
1114066000,서울특별시,중구,1114066000,신당6동
1114061500,서울특별시,중구,1114061500,신당동
1114063500,서울특별시,중구,1114063500,약수동
1114060500,서울특별시,중구,1114060500,을지로동
1114058000,서울특별시,중구,1114058000,장충동
1114068000,서울특별시,중구,1114068000,중림동
1114064500,서울특별시,중구,1114064500,청구동
1114057000,서울특별시,중구,1114057000,필동
1114067000,서울특별시,중구,1114067000,황학동
1114054000,서울특별시,중구,1114054000,회현동
1126066000,서울특별시,중랑구,1126066000,망우3동
1126065500,서울특별시,중랑구,1126065500,망우본동
1126052000,서울특별시,중랑구,1126052000,면목2동
1126057500,서울특별시,중랑구,1126057500,면목3·8동
1126054000,서울특별시,중랑구,1126054000,면목4동
1126055000,서울특별시,중랑구,1126055000,면목5동
1126057000,서울특별시,중랑구,1126057000,면목7동
1126056500,서울특별시,중랑구,1126056500,면목본동
1126062000,서울특별시,중랑구,1126062000,묵1동
1126063000,서울특별시,중랑구,1126063000,묵2동
1126058000,서울특별시,중랑구,1126058000,상봉1동
1126059000,서울특별시,중랑구,1126059000,상봉2동
1126068000,서울특별시,중랑구,1126068000,신내1동
1126069000,서울특별시,중랑구,1126069000,신내2동
1126060000,서울특별시,중랑구,1126060000,중화1동
1126061000,서울특별시,중랑구,1126061000,중화2동
