region_id,기준일자,주민등록인구,생활인구,주간생활인구,야간생활인구,주야간생활인구비율,세대수
1129065000,2026-05,,16577.31,14315.33,18193.01,0.79,
1129066000,2026-05,,35306.33,30386.92,38820.18,0.78,
1129068500,2026-05,,18477.37,17688.84,19040.6,0.93,
1129070500,2026-05,,39328.23,35204.14,42274.02,0.83,
1129071500,2026-05,,27033.04,25723.09,27968.72,0.92,
1129072500,2026-05,,22031.77,22112.05,21974.43,1.01,
1129076000,2026-05,,19426.23,16488.5,21524.61,0.77,
1129077000,2026-05,,14399.61,12875.83,15488.02,0.83,
1129078000,2026-05,,10646.2,9585.03,11404.17,0.84,
1129081000,2026-05,,26368.92,24781.73,27502.62,0.9,
1130553400,2026-05,,19903.89,17123.6,21889.82,0.78,
1130553500,2026-05,,21233.05,21344.68,21153.32,1.01,
1130554500,2026-05,,30797.39,30347.75,31118.56,0.98,
1130555500,2026-05,,22884.46,22001.66,23515.03,0.94,
1130557500,2026-05,,19450.73,16477.63,21574.37,0.76,
1130564500,2026-05,,17565.11,16819.93,18097.38,0.93,
1130566000,2026-05,,25046.06,22942.18,26548.84,0.86,
1132051100,2026-05,,18190.08,16922.01,19095.84,0.89,
1132051200,2026-05,,28979.8,24176.75,32410.54,0.75,
1132051300,2026-05,,10299.89,9231.2,11063.24,0.83,
1132051400,2026-05,,28339.91,27548.37,28905.29,0.95,
1132051500,2026-05,,16452.72,16477.18,16435.25,1.0,
1132052100,2026-05,,16961.66,16978.67,16949.51,1.0,
1132052200,2026-05,,18550.93,17436.04,19347.28,0.9,
1132066000,2026-05,,15961.5,14488.01,17014.0,0.85,
1132067000,2026-05,,16057.08,14825.69,16936.64,0.88,
1132068000,2026-05,,16288.04,15536.55,16824.81,0.92,
1132068100,2026-05,,12694.11,11788.06,13341.29,0.88,
1132069000,2026-05,,24063.16,24579.63,23694.25,1.04,
1132070000,2026-05,,9973.35,8991.84,10674.44,0.84,
1132071000,2026-05,,17729.73,14629.09,19944.47,0.73,
1135056000,2026-05,,20249.2,19794.09,20574.28,0.96,
1135057000,2026-05,,18472.31,17292.96,19314.7,0.9,
1135058000,2026-05,,21538.23,18901.79,23421.4,0.81,
1135059500,2026-05,,36902.78,35133.23,38166.74,0.92,
1135060000,2026-05,,47682.9,48183.58,47325.28,1.02,
1135061100,2026-05,,23030.95,22180.28,23638.57,0.94,
1135061200,2026-05,,15501.68,14151.89,16465.82,0.86,
1135061900,2026-05,,19265.84,18194.41,20031.15,0.91,
1135062100,2026-05,,23796.04,21098.65,25722.75,0.82,
1135062400,2026-05,,14753.07,14034.23,15266.53,0.92,
1135062500,2026-05,,29521.89,27551.15,30929.56,0.89,
1135063000,2026-05,,30841.15,27782.67,33025.78,0.84,
1135064000,2026-05,,26341.4,27407.46,25579.92,1.07,
1135066500,2026-05,,18816.89,16395.82,20546.24,0.8,
1135067000,2026-05,,16805.08,15182.45,17964.1,0.85,
1135069500,2026-05,,43079.0,44431.21,42113.14,1.06,
1135070000,2026-05,,18025.57,14468.83,20566.1,0.7,
1135071000,2026-05,,13537.71,11907.83,14701.91,0.81,
1135072000,2026-05,,12388.98,13021.44,11937.23,1.09,
1138051000,2026-05,,29050.85,26058.38,31188.32,0.84,
1138052000,2026-05,,23552.36,20787.76,25527.07,0.81,
1138053000,2026-05,,18353.26,15967.51,20057.37,0.8,
1138055100,2026-05,,17089.42,16976.74,17169.91,0.99,
1138055200,2026-05,,21043.07,18989.07,22510.22,0.84,
1138056000,2026-05,,24625.36,21397.31,26931.11,0.79,
1138057000,2026-05,,54051.87,49750.68,57124.15,0.87,
1138058000,2026-05,,21549.44,19386.7,23094.25,0.84,
1138059000,2026-05,,17314.06,15198.44,18825.23,0.81,
1138060000,2026-05,,21265.79,18624.49,23152.44,0.8,
1138062500,2026-05,,39873.09,35840.74,42753.33,0.84,
1138063100,2026-05,,19823.05,17016.23,21827.92,0.78,
1138063200,2026-05,,13932.42,12136.32,15215.35,0.8,
1138064000,2026-05,,12637.88,11634.38,13354.67,0.87,
1138065000,2026-05,,14735.17,13207.64,15826.27,0.83,
1138069000,2026-05,,55053.3,53449.72,56198.71,0.95,
1141052000,2026-05,,14061.82,12744.53,15002.74,0.85,
1141055500,2026-05,,56564.05,68918.06,47739.76,1.44,
1141056500,2026-05,,35428.49,42418.32,30435.76,1.39,
1141058500,2026-05,,61699.68,75351.73,51948.22,1.45,
1141061500,2026-05,,37550.06,36697.93,38158.73,0.96,
1141062000,2026-05,,21801.72,19659.44,23331.92,0.84,
1141064000,2026-05,,14311.07,13473.1,14909.62,0.9,
1141065500,2026-05,,10850.83,8805.95,12311.46,0.72,
1141066000,2026-05,,14823.84,12280.22,16640.71,0.74,
1141068500,2026-05,,21426.23,19744.31,22627.6,0.87,
1141069000,2026-05,,10218.44,9394.22,10807.16,0.87,
1141070000,2026-05,,21496.09,20973.78,21869.16,0.96,
1141071000,2026-05,,13754.21,11749.41,15186.2,0.77,
1141072000,2026-05,,26510.28,23804.03,28443.32,0.84,
1144055500,2026-05,,28070.56,27692.5,28340.6,0.98,
1144056500,2026-05,,32449.29,29728.18,34392.94,0.86,
1144058500,2026-05,,15480.16,16401.51,14822.05,1.11,
1144059000,2026-05,,23032.2,22470.52,23433.39,0.96,
