region_id,area_km2,centroid_lon,centroid_lat,map_x,map_y
1135057000,2.003761,127.051296,37.633974,0.685201,0.247432
1135058000,1.133291,127.064829,37.624458,0.717313,0.282437
1135059500,1.262293,127.072554,37.624213,0.735719,0.283436
1135060000,6.979651,127.094322,37.631623,0.787685,0.256607
1135061100,1.52589,127.075068,37.638514,0.741902,0.231145
1135061200,0.499676,127.064966,37.635047,0.717786,0.243696
1135061900,2.181556,127.08602,37.648629,0.76813,0.194274
1135062100,0.622973,127.073701,37.650149,0.738803,0.188553
1135062400,1.518105,127.082516,37.659364,0.759924,0.154952
1135062500,0.91838,127.065894,37.64344,0.720114,0.212998
1135063000,5.398484,127.065115,37.683386,0.718814,0.066823
1135064000,0.622649,127.0671,37.656652,0.72317,0.164672
1135066500,5.207883,127.084219,37.67578,0.764199,0.094907
1135067000,0.906113,127.069999,37.66601,0.730203,0.130471
1135069500,1.449154,127.060101,37.648662,0.706387,0.193813
1135070000,0.66584,127.053504,37.666525,0.690928,0.128361
1135071000,0.718979,127.062182,37.6676,0.711609,0.124545
1135072000,0.808597,127.058384,37.659718,0.702453,0.153334
1138051000,1.792889,126.934574,37.605307,0.406585,0.350488
1138052000,3.122614,126.938659,37.61687,0.416529,0.308251
1138053000,1.395058,126.928699,37.624279,0.392926,0.28097
1138055100,0.960364,126.914737,37.625194,0.359674,0.277369
1138055200,0.984441,126.912452,37.61798,0.354095,0.303723
1138056000,1.388755,126.907309,37.611069,0.341706,0.328917
1138057000,0.851065,126.923154,37.612256,0.379494,0.324861
1138058000,1.109044,126.927065,37.598345,0.38856,0.375831
1138059000,0.75469,126.922896,37.592093,0.378506,0.398633
1138060000,0.752219,126.917554,37.588926,0.365713,0.410126
1138062500,1.156691,126.91462,37.604572,0.359011,0.352824
1138063100,0.80772,126.908506,37.59914,0.344335,0.372589
1138063200,1.045454,126.9062,37.592855,0.338718,0.395541
1138064000,0.807136,126.90594,37.584128,0.337933,0.427469
1138065000,1.288994,126.894531,37.58559,0.310761,0.421906
1138069000,11.556756,126.937823,37.639678,0.414946,0.224786
1141052000,0.982086,126.956654,37.57132,0.458623,0.475228
1141055500,0.458652,126.95502,37.559291,0.454517,0.519214
1141056500,1.115171,126.958319,37.563941,0.462465,0.502254
1141058500,2.71822,126.941579,37.564076,0.422546,0.501474
1141061500,2.927088,126.932793,37.572229,0.401741,0.47149
1141062000,1.234833,126.94432,37.583405,0.429425,0.4308
1141064000,1.207992,126.951615,37.592386,0.446975,0.398063
