region_id,기준일자,카드매출,업종수,사업체수,경쟁도
1171065000,20254,,95,2736,
1171067000,20254,,82,842,
1171068000,20254,,75,1520,
1171069000,20254,,56,322,
1171071000,20254,,88,1680,
1171072000,20254,,46,184,
1174051500,20254,,80,850,
1174052000,20254,,77,865,
1174052500,20254,,0,0,
1174052600,20254,,0,0,
1174053000,20254,,91,1444,
1174054000,20254,,80,988,
1174055000,20254,,72,541,
1174056000,20254,,83,893,
1174057000,20254,,90,1264,
1174058000,20254,,75,627,
1174059000,20254,,75,538,
1174060000,20254,,88,1032,
1174061000,20254,,94,2891,
1174062000,20254,,90,1381,
1174064000,20254,,88,1215,
1174065000,20254,,92,1416,
1174066000,20254,,89,1885,
1174068500,20254,,94,2729,
1174069000,20254,,43,176,
1174070000,20254,,89,1058,
