region_id,기준일자,안심시설수,유흥시설수,CCTV수,경찰시설수,매핑방법,데이터출처
1130557500,2026-06-17,0,0,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1130559000,2026-06-17,0,0,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1130559500,2026-06-17,0,0,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1130560000,2026-06-17,0,0,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1130560300,2026-06-17,0,0,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1130560600,2026-06-17,0,0,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1130560800,2026-06-17,0,0,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1130561000,2026-06-17,0,0,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1130561500,2026-06-17,0,0,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1130562000,2026-06-17,0,0,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1130562500,2026-06-17,0,0,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1130563000,2026-06-17,0,0,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1130563500,2026-06-17,0,0,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1130564500,2026-06-17,0,4,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1130566000,2026-06-17,0,8,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1132051100,2026-06-17,0,5,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1132051200,2026-06-17,0,1,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1132051300,2026-06-17,0,3,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1132051400,2026-06-17,0,24,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1132051500,2026-06-17,0,4,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1132052100,2026-06-17,0,5,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1132052200,2026-06-17,0,2,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1132066000,2026-06-17,0,0,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1132067000,2026-06-17,0,1,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1132068000,2026-06-17,0,2,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1132068100,2026-06-17,0,0,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1132069000,2026-06-17,0,15,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1132070000,2026-06-17,0,1,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1132071000,2026-06-17,0,0,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1135056000,2026-06-17,0,0,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1135057000,2026-06-17,0,0,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1135058000,2026-06-17,0,0,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1135059500,2026-06-17,0,4,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1135060000,2026-06-17,0,3,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1135061100,2026-06-17,0,0,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1135061200,2026-06-17,0,0,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1135061900,2026-06-17,0,0,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1135062100,2026-06-17,0,0,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1135062400,2026-06-17,0,0,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1135062500,2026-06-17,0,0,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1135063000,2026-06-17,0,0,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1135064000,2026-06-17,0,15,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1135066500,2026-06-17,0,1,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1135067000,2026-06-17,0,6,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1135069500,2026-06-17,0,27,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1135070000,2026-06-17,0,0,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1135071000,2026-06-17,0,0,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1135072000,2026-06-17,0,1,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1138051000,2026-06-17,0,13,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1138052000,2026-06-17,0,24,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1138053000,2026-06-17,0,5,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1138055100,2026-06-17,0,25,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1138055200,2026-06-17,0,10,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1138056000,2026-06-17,0,1,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
1138057000,2026-06-17,0,39,,,좌표공간조인,"서울시 단란주점영업 인허가 정보, 서울시 유흥주점영업 인허가 정보"
