시도명,시군구명,행정동코드,행정동명,법정동코드,법정동명,개정일자,연결번호
서울특별시,노원구,1135071000,상계9동,1135010500,상계동,2025-04-01,245
서울특별시,노원구,1135056000,월계1동,1135010200,월계동,2025-04-01,223
서울특별시,노원구,1135057000,월계2동,1135010200,월계동,2025-04-01,224
서울특별시,노원구,1135058000,월계3동,1135010200,월계동,2025-04-01,225
서울특별시,노원구,1135062100,중계1동,1135010600,중계동,2025-04-01,233
서울특별시,노원구,1135062500,중계2·3동,1135010600,중계동,2025-04-01,234
서울특별시,노원구,1135062400,중계4동,1135010500,상계동,2018-10-01,236
서울특별시,노원구,1135062400,중계4동,1135010600,중계동,2025-04-01,236
서울특별시,노원구,1135061900,중계본동,1135010600,중계동,2025-04-01,232
서울특별시,노원구,1135061100,하계1동,1135010400,하계동,2025-04-01,230
서울특별시,노원구,1135061200,하계2동,1135010400,하계동,2025-04-01,231
서울특별시,도봉구,1132052100,도봉1동,1132010800,도봉동,2025-04-01,219
서울특별시,도봉구,1132052200,도봉2동,1132010800,도봉동,2025-04-01,220
서울특별시,도봉구,1132069000,방학1동,1132010600,방학동,2025-04-01,210
서울특별시,도봉구,1132070000,방학2동,1132010600,방학동,2025-04-01,211
서울특별시,도봉구,1132071000,방학3동,1132010600,방학동,2025-04-01,212
서울특별시,도봉구,1132066000,쌍문1동,1132010500,쌍문동,2025-04-01,206
서울특별시,도봉구,1132067000,쌍문2동,1132010500,쌍문동,2025-04-01,207
서울특별시,도봉구,1132068000,쌍문3동,1132010500,쌍문동,2025-04-01,208
서울특별시,도봉구,1132068100,쌍문4동,1132010500,쌍문동,2025-04-01,209
서울특별시,도봉구,1132051100,창1동,1132010700,창동,2025-04-01,214
서울특별시,도봉구,1132051200,창2동,1132010700,창동,2025-04-01,215
서울특별시,도봉구,1132051300,창3동,1132010700,창동,2025-04-01,216
서울특별시,도봉구,1132051400,창4동,1132010700,창동,2025-04-01,217
서울특별시,도봉구,1132051500,창5동,1132010700,창동,2025-04-01,218
서울특별시,동대문구,1123060000,답십리1동,1123010500,답십리동,2025-04-01,114
서울특별시,동대문구,1123060000,답십리1동,1123010400,전농동,2015-07-01,114
서울특별시,동대문구,1123061000,답십리2동,1123010500,답십리동,2025-04-01,115
서울특별시,동대문구,1123053600,용신동,1123010100,신설동,2025-04-01,105
서울특별시,동대문구,1123053600,용신동,1123010200,용두동,2025-04-01,105
서울특별시,동대문구,1123074000,이문1동,1123011000,이문동,2025-04-01,128
서울특별시,동대문구,1123075000,이문2동,1123011000,이문동,2025-04-01,129
서울특별시,동대문구,1123065000,장안1동,1123010600,장안동,2025-04-01,119
서울특별시,동대문구,1123066000,장안2동,1123010600,장안동,2025-04-01,120
서울특별시,동대문구,1123056000,전농1동,1123010400,전농동,2025-04-01,110
서울특별시,동대문구,1123057000,전농2동,1123010400,전농동,2025-04-01,111
서울특별시,동대문구,1123054500,제기동,1123010300,제기동,2025-04-01,108
서울특별시,동대문구,1123070500,청량리동,1123010700,청량리동,2025-04-01,123
서울특별시,동대문구,1123071000,회기동,1123010800,회기동,2025-04-01,125
서울특별시,동대문구,1123072000,휘경1동,1123010900,휘경동,2025-04-01,126
서울특별시,동대문구,1123073000,휘경2동,1123010900,휘경동,2025-04-01,127
서울특별시,동작구,1159051000,노량진1동,1159010100,노량진동,2025-04-01,425
서울특별시,동작구,1159051000,노량진1동,1159010400,본동,2025-04-01,425
서울특별시,동작구,1159052000,노량진2동,1159010100,노량진동,2025-04-01,427
서울특별시,동작구,1159066000,대방동,1159010800,대방동,2025-04-01,442
서울특별시,동작구,1159062000,사당1동,1159010700,사당동,2025-04-01,438
서울특별시,동작구,1159063000,사당2동,1159010600,동작동,2025-04-01,436
서울특별시,동작구,1159063000,사당2동,1159010700,사당동,2025-04-01,436
서울특별시,동작구,1159064000,사당3동,1159010700,사당동,2025-04-01,439
서울특별시,동작구,1159065000,사당4동,1159010700,사당동,2025-04-01,440
서울특별시,동작구,1159065100,사당5동,1159010700,사당동,2025-04-01,441
서울특별시,동작구,1159053000,상도1동,1159010300,상도1동,2025-04-01,428
서울특별시,동작구,1159053000,상도1동,1159010200,상도동,2025-04-01,428
서울특별시,동작구,1159054000,상도2동,1159010200,상도동,2025-04-01,430
서울특별시,동작구,1159055000,상도3동,1159010200,상도동,2025-04-01,431
서울특별시,동작구,1159056000,상도4동,1159010200,상도동,2025-04-01,432
서울특별시,동작구,1159067000,신대방1동,1159010900,신대방동,2025-04-01,443
서울특별시,동작구,1159068000,신대방2동,1159010900,신대방동,2025-04-01,444
서울특별시,동작구,1159060500,흑석동,1159010500,흑석동,2025-04-01,433
서울특별시,마포구,1144056500,공덕동,1144010200,공덕동,2025-04-01,294
서울특별시,마포구,1144056500,공덕동,1144010400,도화동,2025-04-01,294
서울특별시,마포구,1144056500,공덕동,1144010300,신공덕동,2025-04-01,294
서울특별시,마포구,1144056500,공덕동,1144010100,아현동,2025-04-01,294
서울특별시,마포구,1144060000,대흥동,1144011000,노고산동,2025-04-01,303
서울특별시,마포구,1144060000,대흥동,1144010800,대흥동,2025-04-01,303
서울특별시,마포구,1144060000,대흥동,1144011100,신수동,2025-04-01,303
서울특별시,마포구,1144058500,도화동,1144010400,도화동,2025-04-01,300
서울특별시,마포구,1144058500,도화동,1144010700,마포동,2025-04-01,300
서울특별시,마포구,1144069000,망원1동,1144012300,망원동,2025-04-01,312
서울특별시,마포구,1144070000,망원2동,1144012300,망원동,2025-04-01,313
서울특별시,마포구,1144074000,상암동,1144012700,상암동,2025-04-01,317
서울특별시,마포구,1144065500,서강동,1144011800,당인동,2025-04-01,307
서울특별시,마포구,1144065500,서강동,1144011500,상수동,2025-04-01,307
서울특별시,마포구,1144065500,서강동,1144011700,신정동,2025-04-01,307
서울특별시,마포구,1144065500,서강동,1144011400,창전동,2025-04-01,307
서울특별시,마포구,1144065500,서강동,1144011600,하중동,2025-04-01,307
서울특별시,마포구,1144066000,서교동,1144011000,노고산동,2025-04-01,309
서울특별시,마포구,1144066000,서교동,1144012100,동교동,2025-04-01,309
서울특별시,마포구,1144066000,서교동,1144012000,서교동,2025-04-01,309
서울특별시,마포구,1144072000,성산1동,1144012500,성산동,2025-04-01,315
서울특별시,마포구,1144073000,성산2동,1144012500,성산동,2025-04-01,316
서울특별시,마포구,1144073000,성산2동,1144012600,중동,2025-04-01,316
서울특별시,마포구,1144063000,신수동,1144011300,구수동,2025-04-01,306
서울특별시,마포구,1144063000,신수동,1144010800,대흥동,2025-04-01,306
서울특별시,마포구,1144063000,신수동,1144011100,신수동,2025-04-01,306
서울특별시,마포구,1144063000,신수동,1144011700,신정동,2025-04-01,306
서울특별시,마포구,1144063000,신수동,1144011200,현석동,2025-04-01,306
서울특별시,마포구,1144055500,아현동,1144010200,공덕동,2025-04-01,297
서울특별시,마포구,1144055500,아현동,1144010100,아현동,2025-04-01,297
서울특별시,마포구,1144055500,아현동,1144010900,염리동,2025-04-01,297
서울특별시,마포구,1144071000,연남동,1144012400,연남동,2025-04-01,314
서울특별시,마포구,1144061000,염리동,1144010200,공덕동,2025-04-01,305
서울특별시,마포구,1144061000,염리동,1144010900,염리동,2025-04-01,305
서울특별시,마포구,1144059000,용강동,1144010800,대흥동,2025-04-01,302
서울특별시,마포구,1144059000,용강동,1144010400,도화동,2025-04-01,302
