region_id,기준일자,실거래가,전세가,전세가율,거래량
1126054000,2023-10,10550.0,22350.0,,1.67
1126055000,2023-10,10550.0,22350.0,,1.67
1126056500,2023-10,10550.0,22350.0,,1.67
1126057000,2023-10,10550.0,22350.0,,1.67
1126057500,2023-10,10550.0,22350.0,,1.67
1126058000,2023-10,2900.0,2900.0,,0.5
1126059000,2023-10,2900.0,2900.0,,0.5
1126060000,2023-10,5000.0,5000.0,,0.5
1126061000,2023-10,5000.0,5000.0,,0.5
1126062000,2023-10,7375.0,19000.0,,2.0
1126063000,2023-10,7375.0,19000.0,,2.0
1126065500,2023-10,8500.0,11000.0,,1.0
1126066000,2023-10,8500.0,11000.0,,1.0
1126068000,2023-10,20370.0,20370.0,,0.5
1126069000,2023-10,20370.0,20370.0,,0.5
1129052500,2023-10,2000.0,,,2.0
1129055500,2023-10,4536.89,,,1.5
1129057500,2023-10,11610.67,,,0.5
1129058000,2023-10,11610.67,,,0.5
1129059000,2023-10,11610.67,,,0.5
1129060000,2023-10,500.0,,,1.0
1129061000,2023-10,500.0,,,1.0
1129062000,2023-10,12534.73,11200.0,,1.83
1129063000,2023-10,8653.56,11200.0,,1.5
1129064000,2023-10,7175.0,11200.0,,1.0
1129065000,2023-10,7175.0,11200.0,,1.0
1129066000,2023-10,30000.0,,,0.33
1129068500,2023-10,30000.0,,,0.33
1129070500,2023-10,34000.0,,,1.0
1129072500,2023-10,42000.0,42000.0,,1.0
1129076000,2023-10,11170.4,17000.0,,1.67
1129077000,2023-10,11170.4,17000.0,,1.67
1129078000,2023-10,11170.4,17000.0,,1.67
1129081000,2023-10,1000.0,1800.0,,2.0
1130553400,2023-10,8000.0,8000.0,,0.2
1130553500,2023-10,8000.0,8000.0,,0.2
1130554500,2023-10,8000.0,8000.0,,0.2
1130555500,2023-10,8000.0,8000.0,,0.2
1130557500,2023-10,8000.0,8000.0,,0.2
1130559000,2023-10,16225.0,,,0.33
1130559500,2023-10,16225.0,,,0.33
1130560000,2023-10,16225.0,,,0.33
1130560300,2023-10,16225.0,,,0.33
1130560600,2023-10,16225.0,,,0.33
1130560800,2023-10,16225.0,,,0.33
1130561000,2023-10,2433.33,2800.0,,0.38
1130561500,2023-10,2433.33,2800.0,,0.38
1130562000,2023-10,2433.33,2800.0,,0.38
1130562500,2023-10,2433.33,2800.0,,0.38
1130563000,2023-10,2433.33,2800.0,,0.38
1130563500,2023-10,2433.33,2800.0,,0.38
1130564500,2023-10,2433.33,2800.0,,0.38
1130566000,2023-10,2433.33,2800.0,,0.38
1132051100,2023-10,1750.0,,,0.8
1132051200,2023-10,1750.0,,,0.8
1132051300,2023-10,1750.0,,,0.8
1132051400,2023-10,1750.0,,,0.8
1132051500,2023-10,1750.0,,,0.8
1132052100,2023-10,2000.0,,,0.5
1132052200,2023-10,2000.0,,,0.5
1132066000,2023-10,3500.0,,,0.5
1132067000,2023-10,3500.0,,,0.5
1132068000,2023-10,3500.0,,,0.5
1132068100,2023-10,3500.0,,,0.5
1135056000,2023-10,1000.0,,,0.67
1135057000,2023-10,1000.0,,,0.67
1135058000,2023-10,1000.0,,,0.67
1135059500,2023-10,2484.67,,,1.5
1135060000,2023-10,2484.67,,,1.5
1135061100,2023-10,1500.0,,,0.5
1135061200,2023-10,1500.0,,,0.5
1135061900,2023-10,39500.0,64000.0,,0.5
1135062100,2023-10,39500.0,64000.0,,0.5
1135062400,2023-10,21840.57,43140.94,,1.17
1135062500,2023-10,39500.0,64000.0,,0.5
1135063000,2023-10,8596.0,19674.5,,0.67
1135064000,2023-10,8596.0,19674.5,,0.67
1135066500,2023-10,8596.0,19674.5,,0.67
1135067000,2023-10,8596.0,19674.5,,0.67
1135069500,2023-10,8596.0,19674.5,,0.67
1135070000,2023-10,8596.0,19674.5,,0.67
1135071000,2023-10,8596.0,19674.5,,0.67
1135072000,2023-10,8596.0,19674.5,,0.67
1138051000,2023-10,22888.0,51720.0,,5.0
1138052000,2023-10,14166.67,18000.0,,1.5
1138053000,2023-10,14166.67,18000.0,,1.5
1138055100,2023-10,1277.5,,,1.0
1138055200,2023-10,1277.5,,,1.0
1138056000,2023-10,1250.0,,,2.0
1138058000,2023-10,32750.0,65000.0,,0.67
1138059000,2023-10,32750.0,65000.0,,0.67
1138060000,2023-10,32750.0,65000.0,,0.67
1138062500,2023-10,8000.0,,,1.0
1138064000,2023-10,20000.0,20000.0,,1.0
1138069000,2023-10,8392.67,,,3.0
1141055500,2023-10,51000.0,,,0.5
1141056500,2023-10,51000.0,,,0.5
1141061500,2023-10,1500.0,,,2.0
1141062000,2023-10,1500.0,,,0.67
1141064000,2023-10,1500.0,,,0.67
1141065500,2023-10,1500.0,,,0.67
1141069000,2023-10,366.67,,,1.5
1141070000,2023-10,366.67,,,1.5
1141071000,2023-10,11625.0,32500.0,,2.0
1141072000,2023-10,11625.0,32500.0,,2.0
1144055500,2023-10,75120.0,120000.0,,0.83
1144056500,2023-10,52000.0,120000.0,,1.17
1144058500,2023-10,1000.0,,,0.67
1144059000,2023-10,3094.0,,,1.33
1144060000,2023-10,2576.0,,,0.33
1144061000,2023-10,7800.0,,,0.33
1144063000,2023-10,1390.4,,,0.83
1144065500,2023-10,38366.67,,,1.5
